genome_id	gene_symbol	contig	tier	true_location
GCF_006364675.1	tet(K)	NZ_CP041000.1	High-confidence plasmid	Plasmid
GCF_022832755.1	ant(9)-Ia	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	ant(9)-Ia	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	aph(2'')-Ih	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	blaI_of_Z	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	blaPC1	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	blaR1	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	erm(A)	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	erm(C)	NZ_CP094856.1	High-confidence plasmid	Plasmid
GCF_022832755.1	fosB-Saur	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	mecA	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	mecI_of_mecA	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	mecR1	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	tet(38)	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022832755.1	tet(M)	NZ_CP094855.1	Chromosomal	Chromosome
GCF_022869625.1	fosB-Saur	NZ_CP064365.1	Chromosomal	Chromosome
GCF_022869625.1	tet(38)	NZ_CP064365.1	Chromosomal	Chromosome
GCF_026625205.1	ant(9)-Ia	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	ant(9)-Ia	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	aph(2'')-Ih	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	aph(3')-IIIa	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	blaI_of_Z	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	blaPC1	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	blaR1	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	dfrG	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	erm(A)	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	erm(A)	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	fosB-Saur	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	mecA	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	mecI_of_mecA	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	mecR1	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	tet(38)	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625205.1	tet(M)	NZ_CP113005.1	Chromosomal	Chromosome
GCF_026625265.1	ant(9)-Ia	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	ant(9)-Ia	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	aph(2'')-Ih	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	aph(3')-IIIa	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	blaI_of_Z	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	blaPC1	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	blaR1	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	dfrG	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	erm(A)	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	erm(A)	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	fosB-Saur	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	fusC	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	mecA	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	mecI_of_mecA	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	mecR1	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	tet(38)	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625265.1	tet(M)	NZ_CP113015.1	Chromosomal	Chromosome
GCF_026625305.1	ant(9)-Ia	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	ant(9)-Ia	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	aph(2'')-Ih	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	aph(3')-IIIa	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	blaI_of_Z	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	blaPC1	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	blaR1	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	dfrG	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	erm(A)	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	erm(A)	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	erm(C)	NZ_CP113017.1	High-confidence plasmid	Plasmid
GCF_026625305.1	erm(C)	NZ_CP113023.1	High-confidence plasmid	Plasmid
GCF_026625305.1	fosB-Saur	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	mecA	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	mecI_of_mecA	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	mecR1	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	tet(38)	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	tet(M)	NZ_CP113018.1	Chromosomal	Chromosome
GCF_026625305.1	tet(M)	NZ_CP113023.1	High-confidence plasmid	Plasmid
GCF_030252755.1	ant(9)-Ia	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	ant(9)-Ia	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	aph(2'')-Ih	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	aph(3')-IIIa	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	blaI_of_Z	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	blaPC1	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	blaR1	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	dfrG	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	erm(A)	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	erm(A)	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	erm(C)	NZ_CP127023.1	High-confidence plasmid	Plasmid
GCF_030252755.1	fosB-Saur	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	mecA	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	mecI_of_mecA	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	mecR1	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	sat4	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	tet(38)	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	tet(M)	NZ_CP127021.1	Chromosomal	Chromosome
GCF_030252755.1	tet(M)	NZ_CP127023.1	High-confidence plasmid	Plasmid
GCF_037039325.1	ant(9)-Ia	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	aph(2'')-Ih	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	aph(3')-IIIa	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	blaI_of_Z	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	blaPC1	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	blaR1	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	erm(A)	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	fosB-Saur	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	mecA	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	mecI_of_mecA	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	mecR1	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	tet(38)	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	tet(K)	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039325.1	tet(M)	NZ_CP146215.1	Chromosomal	Chromosome
GCF_037039335.1	ant(9)-Ia	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	aph(2'')-Ih	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	aph(3')-IIIa	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	blaI_of_Z	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	blaPC1	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	blaR1	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	erm(A)	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	fosB-Saur	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	mecA	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	mecI_of_mecA	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	mecR1	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	sat4	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	tet(38)	NZ_CP146213.1	Chromosomal	Chromosome
GCF_037039335.1	tet(M)	NZ_CP146213.1	Chromosomal	Chromosome
GCF_044789125.1	aph(2'')-Ih	NZ_CP173176.1	Chromosomal	Chromosome
GCF_044789125.1	cat-TC	NZ_CP173178.1	High-confidence plasmid	Plasmid
GCF_044789125.1	erm(C)	NZ_CP173179.1	High-confidence plasmid	Plasmid
GCF_044789125.1	fosB-Saur	NZ_CP173176.1	Chromosomal	Chromosome
GCF_044789125.1	mecA	NZ_CP173176.1	Chromosomal	Chromosome
GCF_044789125.1	tet(38)	NZ_CP173176.1	Chromosomal	Chromosome
GCF_044789125.1	tet(K)	NZ_CP173177.1	High-confidence plasmid	Plasmid
GCF_045345275.1	ant(9)-Ia	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	ant(9)-Ia	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	aph(2'')-Ih	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	aph(3')-IIIa	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	blaI_of_Z	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	blaPC1	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	blaR1	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	dfrG	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	erm(A)	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	erm(A)	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	fosB-Saur	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	mecA	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	mecI_of_mecA	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	mecR1	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	sat4	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	tet(38)	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	tet(K)	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045345275.1	tet(M)	NZ_CP149492.1	Chromosomal	Chromosome
GCF_045679535.1	ant(9)-Ia	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	ant(9)-Ia	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	aph(2'')-Ih	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	aph(3')-IIIa	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	blaI_of_Z	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	blaPC1	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	blaR1	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	dfrG	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	erm(A)	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	erm(A)	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	fosB-Saur	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	mecA	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	mecI_of_mecA	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	mecR1	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	tet(38)	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	tet(K)	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045679535.1	tet(M)	NZ_CP089479.1	Chromosomal	Chromosome
GCF_045790345.1	ant(6)-Ia	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	ant(9)-Ia	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	ant(9)-Ia	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	ant(9)-Ia	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	aph(2'')-Ih	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	aph(3')-IIIa	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	blaI_of_Z	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	blaPC1	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	blaR1	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	erm(A)	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	erm(A)	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	erm(A)	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	fosB-Saur	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	mecA	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	mecI_of_mecA	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	mecR1	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	sat4	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	tet(38)	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	tet(K)	NZ_CP089500.1	Chromosomal	Chromosome
GCF_045790345.1	tet(M)	NZ_CP089500.1	Chromosomal	Chromosome
GCF_050881725.1	ant(9)-Ia	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	ant(9)-Ia	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	aph(2'')-Ih	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	aph(3')-IIIa	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	blaI_of_Z	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	blaPC1	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	blaR1	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	dfrG	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	erm(A)	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	erm(A)	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	fosB-Saur	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	mecA	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	mecI_of_mecA	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	mecR1	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	tet(38)	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	tet(K)	NZ_CP170677.1	Chromosomal	Chromosome
GCF_050881725.1	tet(M)	NZ_CP170677.1	Chromosomal	Chromosome
GCF_054906605.1	ant(9)-Ia	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	ant(9)-Ia	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	aph(2'')-Ih	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	blaI_of_Z	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	blaPC1	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	blaR1	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	dfrG	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	erm(A)	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	erm(A)	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	fosB-Saur	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	mecA	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	mecI_of_mecA	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	mecR1	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	tet(38)	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	tet(K)	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906605.1	tet(M)	NZ_CP087447.1	Chromosomal	Chromosome
GCF_054906615.1	ant(9)-Ia	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	ant(9)-Ia	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	aph(2'')-Ih	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	blaI_of_Z	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	blaPC1	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	blaR1	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	dfrG	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	erm(A)	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	erm(A)	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	fosB-Saur	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	mecA	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	mecI_of_mecA	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	mecR1	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	tet(38)	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	tet(K)	NZ_CP087449.1	Chromosomal	Chromosome
GCF_054906615.1	tet(M)	NZ_CP087449.1	Chromosomal	Chromosome
GCF_056820065.1	ant(9)-Ia	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	ant(9)-Ia	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	aph(2'')-Ih	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	aph(3')-IIIa	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	blaI_of_Z	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	blaPC1	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	blaR1	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	dfrG	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	erm(A)	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	erm(A)	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	fosB-Saur	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	mecA	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	mecI_of_mecA	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	mecR1	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	tet(38)	NZ_CM165939.1	Chromosomal	Chromosome
GCF_056820065.1	tet(M)	NZ_CM165939.1	Chromosomal	Chromosome
GCF_057077345.1	ant(4')-Ia	NZ_CP166575.1	Chromosomal	Chromosome
GCF_057077345.1	ant(9)-Ia	NZ_CP166575.1	Chromosomal	Chromosome
GCF_057077345.1	aph(2'')-Ih	NZ_CP166575.1	Chromosomal	Chromosome
GCF_057077345.1	blaI_of_Z	NZ_CP166576.1	High-confidence plasmid	Plasmid
GCF_057077345.1	blaPC1	NZ_CP166576.1	High-confidence plasmid	Plasmid
GCF_057077345.1	blaR1	NZ_CP166576.1	High-confidence plasmid	Plasmid
GCF_057077345.1	bleO	NZ_CP166575.1	Chromosomal	Chromosome
GCF_057077345.1	erm(A)	NZ_CP166575.1	Chromosomal	Chromosome
GCF_057077345.1	fosB-Saur	NZ_CP166575.1	Chromosomal	Chromosome
GCF_057077345.1	mecA	NZ_CP166575.1	Chromosomal	Chromosome
GCF_057077345.1	tet(38)	NZ_CP166575.1	Chromosomal	Chromosome
GCF_057077345.1	tet(M)	NZ_CP166575.1	Chromosomal	Chromosome
GCF_900607265.1	ant(9)-Ia	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	ant(9)-Ia	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	aph(2'')-Ih	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	aph(3')-IIIa	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	blaI_of_Z	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	blaPC1	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	blaR1	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	dfrG	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	erm(A)	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	erm(A)	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	fosB-Saur	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	mecA	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	mecI_of_mecA	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	mecR1	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	tet(38)	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	tet(K)	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607265.1	tet(M)	NZ_LR027878.1	Chromosomal	Chromosome
GCF_900607305.1	ant(9)-Ia	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	ant(9)-Ia	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	ant(9)-Ia	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	aph(2'')-Ih	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	aph(3')-IIIa	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	blaI_of_Z	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	blaPC1	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	blaR1	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	dfrC	NZ_LR027875.1	Moderate-confidence plasmid	Plasmid
GCF_900607305.1	erm(A)	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	erm(A)	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	erm(A)	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	fosB-Saur	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	mecA	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	mecI_of_mecA	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	mecR1	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	sat4	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	tet(38)	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	tet(K)	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900607305.1	tet(M)	NZ_LR027874.1	Chromosomal	Chromosome
GCF_900620245.1	ant(9)-Ia	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	ant(9)-Ia	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	aph(2'')-Ih	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	aph(3')-IIIa	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	blaI_of_Z	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	blaPC1	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	blaR1	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	dfrG	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	erm(A)	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	erm(A)	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	fosB-Saur	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	mecA	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	mecI_of_mecA	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	mecR1	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	sat4	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	tet(38)	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	tet(K)	NZ_LR130515.1	Chromosomal	Chromosome
GCF_900620245.1	tet(M)	NZ_LR130515.1	Chromosomal	Chromosome
GCF_987113205.1	fosB-Saur	NZ_OZ495701.1	Chromosomal	Chromosome
GCF_987113205.1	tet(38)	NZ_OZ495701.1	Chromosomal	Chromosome
